Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,445,630,407","$636,230,407",44%,"$809,400,000",56%
2,The Super Mario Bros. Movie,"$1,361,939,570","$574,934,330",42.2%,"$787,005,240",57.8%
3,Oppenheimer,"$952,039,870","$326,105,870",34.3%,"$625,934,000",65.7%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$496,382,801","$154,426,697",31.1%,"$341,956,104",68.9%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
